,f1_score_before,f1_score_after,norm_1_before,norm_1_after,norm_2_before,norm_2_after
0,0.8971233544612385,0.9389430477167778,44.54125105472806,22.110430164857657,27.980880422388793,25.184193483169143
1,0.875,0.9137749737118823,37.091272041793474,17.215555271713498,36.53730020135573,19.963310690746006
2,0.9280155642023346,0.946215139442231,41.68607214804131,15.101508774374715,35.73295892422693,15.94567721096006
3,0.9126984126984127,0.9412355600200903,26.14098822689388,21.610618777129552,25.75866506790153,24.305298853319538
4,0.8964435146443515,0.9469026548672566,50.95062480107545,23.0478389151361,43.3503672722001,24.08169450842855
5,0.8650190114068441,0.9259826442062276,46.084821968538265,15.485414158878157,44.535969044535534,17.537666100512542
6,0.9100101112234581,0.957983193277311,39.75699829478454,26.62559451237296,38.642762341225996,29.81303413088119
7,0.908183632734531,0.9346938775510205,41.63853190941461,28.855000255319826,39.10303721152263,32.38657259309516
8,0.9185043144774688,0.9563058589870903,30.701629824008897,18.191534165214186,27.95890535239801,20.43900536508325
9,0.8975791433891992,0.9272540983606558,40.92338534589203,21.735003110379726,35.824992269183376,23.21618797482389
10,0.9131679389312977,0.9532428355957767,39.218239315218305,19.48516817175918,34.06910208877143,22.454603589013125
11,0.9188926663428848,0.934984520123839,35.1445157163247,22.251806196463576,32.34487576435937,24.697673303762503
12,0.8922495274102079,0.9203903441191578,32.77432262696541,16.71944253205639,27.28612690424665,16.88168596668714
13,0.940934771443246,0.9438877755511021,32.180926963512725,14.77552248981198,26.53548414729021,15.140555345221083
14,0.9297796002050231,0.9703368526897939,38.81368530113736,27.144430538811825,32.57489706313937,25.743530460760752
15,0.8915046059365405,0.9291646311675623,39.69594638036755,18.39691620228619,40.580023169613945,20.388853180848162
16,0.936007640878701,0.9323155216284987,31.57350711087299,26.927521701677037,22.66277338623177,28.152136653299888
17,0.8577609518658734,0.932987012987013,46.23108224707538,18.99440677471693,44.33314409930798,22.609218225838017
18,0.9397233201581027,0.9438090502237692,22.880552086854117,22.039204320751438,17.496519920581203,22.4715456534431
19,0.881307063911581,0.9553571428571429,47.302859241250374,21.432870294684584,41.69669408698044,24.885632808677073
20,0.8819226750261232,0.915587778353185,51.40881545624741,27.84896527450695,37.35280976283406,31.28050396914031
21,0.9537366548042704,0.9455782312925171,31.650933218620008,12.936877052217586,25.63889544133923,15.118059944264846
22,0.9027355623100304,0.9336078229541945,38.678941318836884,26.49083234850551,36.00692887683544,27.59082972897179
23,0.9062049062049062,0.9376237623762377,53.100804160192666,17.122074351696916,42.067502099136604,19.708054698807967
24,0.9239823442864149,0.9588089330024814,38.43502188519492,23.864660275059524,29.59826910131154,28.938763730403995
25,0.912799592044875,0.9079939668174962,31.05732521052226,23.87657667496828,25.782165836751943,24.22511407659719
26,0.9029227557411272,0.9439347604485219,38.025163010275854,25.60834154000133,32.72430977924507,25.296876020153693
27,0.866,0.8993147074327885,30.633064331555005,33.87145730581493,26.5973418550702,35.66640673383777
28,0.8898898898898898,0.9534412955465587,48.48291190215962,22.91648570388872,42.73379439364381,25.729197759528965
29,0.8995943204868154,0.9417523250122369,37.58563816310197,28.791952510590225,29.1348616414233,30.289972878593776
